loc,hour,severity_index
West Valley,11,30076.880974695407
West Valley,13,35682.41529105126
West Valley,14,23038.41991701245
Wilshire,0,22750.940948693125
Wilshire,9,30037.03938520653
Wilshire,14,29742.87616677038
77th Street,6,37676.88383233533
77th Street,11,57352.06125921724
77th Street,17,51170.316017316014
Central,2,41530.53852813853
Central,4,38970.19263456091
Central,5,39009.8611898017
Central,11,44400.11175785797
Central,12,31908.495867768594
Central,18,29531.131481481483
Devonshire,1,31253.772435897437
Devonshire,16,20424.703296703297
Devonshire,20,19970.91654465593
Foothill,2,35129.4094488189
Foothill,10,24571.34011299435
Foothill,22,33681.681610247026
Harbor,8,27017.418708240533
Harbor,10,32307.112727272728
Harbor,19,36024.76144244106
Harbor,23,49633.23539232054
Hollenbeck,1,56253.61549100968
Hollenbeck,8,28721.774683544303
Hollenbeck,10,32224.942345924454
Hollenbeck,15,37871.23174603174
Hollywood,13,26785.455411844792
Hollywood,19,31085.08782201405
Mission,2,41946.242214532875
Mission,3,29576.96551724138
Mission,18,34962.23794614903
Mission,19,31461.662464985995
N Hollywood,12,18920.45466048081
N Hollywood,23,25725.049604601005
Newton,12,33555.91867308721
Northeast,1,41462.262595419845
Northeast,16,25283.581202487905
Northeast,18,26836.34074941452
Olympic,2,39704.57423580786
Olympic,9,23972.166666666668
Olympic,10,26897.16679245283
Olympic,15,32181.558047493403
Olympic,18,26040.344594594593
Pacific,15,23317.527567020737
Pacific,20,20739.456973293767
Pacific,22,24098.734219269103
Rampart,4,48975.83109404991
Rampart,10,38543.706867671695
Rampart,11,40612.360655737706
Rampart,16,35952.68106551476
Southeast,8,48663.3810741688
Southeast,9,52849.31034482759
Southeast,12,44057.20887055183
Southeast,18,56295.7988595127
Southeast,19,57040.45875251509
Southwest,13,45200.99715099715
Southwest,16,42496.02478058854
Southwest,20,40651.383466135456
Topanga,1,32072.385432473446
Topanga,3,23957.419230769232
Topanga,4,17799.82629107981
Topanga,6,17782.885245901638
Topanga,11,22759.78918918919
Topanga,14,20315.627365356624
Topanga,15,17280.29589778077
Van Nuys,0,26440.98866608544
Van Nuys,2,24888.32449297972
Van Nuys,3,20962.1935483871
Van Nuys,14,22204.891338582678
Van Nuys,18,18318.937720329024
Van Nuys,20,21446.529073482427
West LA,10,18716.57078313253
West LA,15,16727.564547206166
West LA,18,10981.646205357143
West Valley,1,30947.480589022758
West Valley,3,23039.53242320819
West Valley,4,21669.763440860213
West Valley,6,24514.84251968504
West Valley,12,16181.753608247423
West Valley,17,25367.109038737446
Wilshire,3,26131.873605947956
Wilshire,4,25907.120967741936
Wilshire,11,28139.786626596542
Wilshire,15,25604.443113772457
Wilshire,19,28000.761904761905
Wilshire,22,30523.696562032885
77th Street,0,48779.26168224299
77th Street,10,50883.28888888889
77th Street,14,61289.603396603394
77th Street,18,59727.910064239826
77th Street,20,60120.70849338455
77th Street,21,59872.26438848921
Central,0,42507.41103448276
Central,7,41550.39497307002
Central,13,34967.72183908046
Central,22,35869.04436130411
Devonshire,7,17755.07843137255
Devonshire,14,26164.78194338179
Devonshire,17,18389.064935064936
Devonshire,18,18352.637810311902
Foothill,3,30937.033259423504
Harbor,1,41042.10982658959
Harbor,9,31466.043083900226
Harbor,18,33436.02380952381
Hollenbeck,2,52786.620689655174
Hollenbeck,18,37422.956
Hollywood,3,38776.66976744186
Hollywood,5,32175.967689822293
Hollywood,12,25710.775381850854
Mission,9,25627.84222737819
Mission,12,20818.17824933687
Mission,13,32821.473296500924
Mission,17,28906.551543007223
N Hollywood,20,22706.607919687674
N Hollywood,22,25228.063251106894
Newton,1,51336.46078431373
Newton,8,35884.26855713094
Newton,11,47818.829674489025
Newton,17,47464.041304347826
Newton,21,47052.71162491972
Northeast,8,15778.969262295082
Northeast,15,26968.3569979716
Northeast,22,32159.80549019608
Northeast,23,30651.356200527705
Olympic,16,26649.71873055383
Olympic,20,36049.14788732395
Rampart,3,36161.83112582781
Rampart,12,29717.491564863292
Rampart,21,45493.900464499005
Southeast,20,60961.96245560629
Southwest,3,42684.61627906977
Southwest,5,25729.071428571428
Topanga,9,18259.11089866157
Topanga,17,19065.179890975167
Van Nuys,1,23035.778350515466
Van Nuys,9,25762.07843137255
West LA,0,15164.836185819071
West LA,2,21178.082918739634
West LA,4,9140.737327188941
West LA,14,20940.076561450638
West LA,20,15017.54218443427
West Valley,19,32015.482168330956
Wilshire,6,13670.86541737649
Wilshire,17,22550.19914346895
Wilshire,20,21925.20519159456
Wilshire,23,29702.32192414431
77th Street,5,46825.09090909091
77th Street,8,43913.413680781756
Central,20,35518.27468230694
Devonshire,3,12201.853658536585
Devonshire,9,22502.65306122449
Devonshire,15,19523.8911095796
Foothill,5,26347.5988372093
Foothill,7,20262.1203539823
Foothill,11,33278.19696969697
Harbor,4,36103.00202839757
Harbor,13,39518.38414096916
Harbor,17,35398.42637091805
Harbor,22,43972.54018826937
Hollenbeck,16,37889.575899843505
Hollenbeck,17,34608.99090272918
Hollenbeck,22,47481.643921568626
Hollywood,2,44478.00171526587
Hollywood,6,33304.484567901236
Hollywood,11,25724.484085862325
Hollywood,20,30676.507789959607
Mission,15,26675.3578125
Mission,21,36442.845303867405
N Hollywood,4,11708.314102564103
N Hollywood,10,21384.123257520176
N Hollywood,16,23863.898823529413
N Hollywood,17,23417.667714884697
N Hollywood,21,28511.188335358445
Newton,6,38291.75
Newton,9,40712.6555652936
Newton,15,44127.48780487805
Newton,18,42721.9849137931
Northeast,0,29019.779141104296
Northeast,3,31046.021543985637
Northeast,9,22024.986193293884
Olympic,6,34059.77142857143
Olympic,7,28945.154172560113
Olympic,14,33472.24944974321
Olympic,19,29418.42999414177
Olympic,22,31569.925473427
Olympic,23,38033.426160337556
Pacific,8,21590.980303030305
Pacific,14,22123.318753417167
Pacific,18,18240.944444444445
Pacific,19,23120.61394891945
Rampart,0,44217.63129496403
Rampart,7,32696.046896551725
Rampart,8,32295.301030927836
Rampart,13,40705.5077186964
Rampart,22,38781.74059139785
Southeast,5,33518.72657743786
Southeast,16,60934.16225749559
Southwest,0,44896.39744499645
Southwest,1,45563.63885955649
Southwest,4,34188.99426386233
Southwest,6,37443.71032357473
Southwest,8,28717.667617689014
Topanga,2,37246.07836456559
Topanga,19,25125.911667765326
Topanga,20,26138.433628318584
Van Nuys,5,19487.399176954732
Van Nuys,11,24219.646753246754
Van Nuys,19,18790.293010752688
West LA,16,13943.517365269461
West LA,19,14546.990956072352
West LA,21,18171.00224382947
West LA,22,15428.980968858132
West Valley,7,23398.371584699453
West Valley,15,26962.077963404932
West Valley,18,24520.71794871795
West Valley,21,30285.753951890034
West Valley,22,31107.952807160294
Wilshire,5,18361.757575757576
Wilshire,10,26264.099702380954
Wilshire,16,27048.460345855696
77th Street,22,61344.47286455875
77th Street,23,58304.886710239654
Central,19,31085.02099236641
Central,23,39522.66505733253
Devonshire,8,22936.554890219562
Devonshire,10,19542.296495956874
Devonshire,11,20111.437984496122
Devonshire,12,14616.530198248041
Foothill,8,27345.599056603773
Foothill,9,26374.628498727736
Foothill,13,25781.328685258963
Harbor,5,34734.88
Harbor,14,35635.91966527197
Harbor,15,38434.069802731414
Hollenbeck,5,33750.59241706161
Hollenbeck,7,26024.38782051282
Hollenbeck,9,33418.687418936446
Hollenbeck,11,43325.926803013994
Hollenbeck,19,37793.296875
Hollywood,0,30286.738007380074
Hollywood,1,37465.42857142857
Hollywood,9,28169.094786729856
Mission,5,18444.18686868687
Mission,20,30920.48289218851
N Hollywood,3,20402.395128552096
N Hollywood,5,17171.76936936937
N Hollywood,8,20100.013986013986
N Hollywood,18,21146.96636085627
N Hollywood,19,22756.549438202248
Newton,19,44528.944964871196
Northeast,5,13758.87962962963
Northeast,13,29468.307568438002
Olympic,8,23495.135640785782
Olympic,13,31812.26113671275
Olympic,17,30764.30518018018
Pacific,1,19438.098814229248
Pacific,3,19943.653746770025
Pacific,5,19303.91780821918
Pacific,6,21983.24577373212
Pacific,7,24770.909853249475
Pacific,23,23390.950967741934
Rampart,19,40043.64067373674
Rampart,20,42116.99526627219
Southeast,6,35771.697171381034
Southeast,10,48629.041229909155
Southeast,14,60908.87189542484
Southeast,15,54632.23710729105
Southwest,2,41382.793650793654
Southwest,9,31885.318696883853
Southwest,15,36934.278647147905
Southwest,17,34551.06352941177
Southwest,21,43136.20416889364
Southwest,23,46329.483479433584
Topanga,10,18508.066549912433
Topanga,13,21500.651757188498
Topanga,21,22091.81331168831
Topanga,22,23648.093255620315
Van Nuys,7,22417.505988023953
Van Nuys,8,23965.424071991
Van Nuys,12,19809.192345436702
West LA,1,14442.583717357911
West LA,8,11944.565420560748
West Valley,5,19828.10705596107
West Valley,9,16687.624385447394
West Valley,16,30045.096260938742
West Valley,20,30359.955654101996
Wilshire,7,30406.5
Wilshire,8,20335.277833500502
Wilshire,12,16718.1214028777
Wilshire,21,38342.503733876445
