"CHICAGO,1,96.84560586080991"
"CHICAGO,8,20.07192052055659"
"CHICAGO,13,42.331502110439054"
"CHICAGO,17,41.31167720652776"
"CHICAGO,20,84.79816038779205"
"CHICAGO,4,64.79443947942165"
"CHICAGO,9,18.38617106680639"
"CHICAGO,11,41.39422730314236"
"CHICAGO,0,34.48325225638511"
"CHICAGO,12,71.27064496355419"
"CHICAGO,14,42.68504944344643"
"CHICAGO,2,89.23983924599256"
"CHICAGO,6,34.9613569889759"
"CHICAGO,15,40.46210090384643"
"CHICAGO,16,40.249276138806096"
"CHICAGO,18,48.561508275398666"
"CHICAGO,22,92.05134748804592"
"CHICAGO,3,77.24624929323285"
"CHICAGO,10,29.139020755295615"
"CHICAGO,21,92.37793011655"
"CHICAGO,5,44.35022723668338"
"CHICAGO,7,24.588295531752763"
"CHICAGO,19,74.97312685594441"
"CHICAGO,23,106.38259045108153"
