city,location,category,crime_count
CHICAGO,Central,ASSAULT,22535
CHICAGO,Chicago Lawn,THEFT,58008
CHICAGO,Englewood,THEFT,34807
CHICAGO,Grand Crossing,SHOOTING,3637
CHICAGO,Harrison,LYNCHING,386
CHICAGO,Jefferson Park,THEFT,33427
CHICAGO,Lincoln,MAJOR THEFT,1344
CHICAGO,Near West,MAJOR THEFT,5582
CHICAGO,Rogers Park,SHOOTING,782
CHICAGO,South Chicago,FRAUD,7264
CHICAGO,Town Hall,SHOOTING,514
CHICAGO,Town Hall,THEFT,59777
CHICAGO,Wentworth,FRAUD,7302
CHICAGO,Wentworth,THEFT,38676
LA,77th Street,SEXUAL OFFENCES,2857
LA,Devonshire,KIDNAPPING,236
LA,Hollenbeck,KIDNAPPING,251
LA,Hollywood,LYNCHING,199
LA,Hollywood,MAJOR THEFT,19735
LA,Mission,SHOOTING,8889
LA,N Hollywood,HOMICIDE,92
LA,Newton,TRAFFIC,21
LA,Northeast,HOMICIDE,112
LA,Northeast,LYNCHING,209
LA,Northeast,SHOOTING,8027
LA,Pacific,DRUGS,5
LA,West LA,LYNCHING,118
LA,Wilshire,MAJOR THEFT,15020
NYC,BRONX,OTHER,369306
NYC,BROOKLYN,FRAUD,26046
NYC,BROOKLYN,TRAFFIC,17537
NYC,MANHATTAN,MAJOR THEFT,43546
NYC,QUEENS,SHOOTING,17035
NYC,STATEN ISLAND,ASSAULT,27928
NYC,STATEN ISLAND,TRAFFIC,6033
CHICAGO,Albany Park,KIDNAPPING,51
CHICAGO,Albany Park,OTHER,18237
CHICAGO,Austin,HUMAN TRAFFICKING,6
CHICAGO,Calumet,HOMICIDE,462
CHICAGO,Calumet,OTHER,33108
CHICAGO,Chicago Lawn,HOMICIDE,404
CHICAGO,Chicago Lawn,KIDNAPPING,185
CHICAGO,Deering,FRAUD,6413
CHICAGO,Gresham,HOMICIDE,563
CHICAGO,Harrison,SHOOTING,5737
CHICAGO,Jefferson Park,ASSAULT,21395
CHICAGO,Jefferson Park,MAJOR THEFT,1490
CHICAGO,Lincoln,DRUGS,1514
CHICAGO,Morgan Park,THEFT,27920
CHICAGO,Near North,SEXUAL OFFENCES,1512
CHICAGO,Ogden,ASSAULT,39407
CHICAGO,Ogden,HOMICIDE,446
CHICAGO,Rogers Park,OTHER,19794
CHICAGO,Shakespeare,FRAUD,6071
CHICAGO,Town Hall,DRUGS,3436
